Dataset,Run_ID,Variant,Model,Number_Users,Number_Items,Number_Interactions,Density,Sparsity,Avg_User_Degree,Avg_Item_Degree,rmse_mean,Precision@10_mean,Recall@10_mean,NDCG@10_mean,MRR@10_mean,Coverage@10_mean,CatalogItems_mean,UniqueRecItems@10_mean,ItemCV@10_mean,UserCoverage@10_mean,FixedEval_mean,FixedEvalUsers_mean,FixedEvalCandidates_mean,EEL@10_mean,RecGini_mean,RecEntropy_mean,1-Gini@10_mean,ARP@10_mean,APLT@10_mean,LTShare@10_mean,EPC@10_mean,EFD@10_mean,EPC_rel@10_mean,EFD_rel@10_mean,ILS_mean,Diversity_mean
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_plain,BPR,55697,7100,7928633,0.0200497131486334,0.979950286851367,142.352963355297,1116.70887323944,,0.0222830673106271,0.222830673106271,0.114265808244824,0.0816157099738352,0.669507042253521,7100,4753.5,3.32802986857323,0.222830673106271,1,55697,55752697,0.00145669058517013,0.886457045629422,9.99933233304042,0.113542954370578,9277.73111567948,0.00382717080675119,0.0659891915183942,0.818371281636378,10.1477986015991,0.01995938118934,0.249981037512862,0.240037892589723,0.759962107410277
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_plain,ItemKNN,55697,7100,7928633,0.0200497131486334,0.979950286851367,142.352963355297,1116.70887323944,,0.0215577140600032,0.215577140600032,0.110881755869501,0.0794010734384543,0.437323943661972,7100,3105,4.47541174244433,0.215577140600032,1,55697,55752697,0.00156533301543121,0.942928741958174,9.04672339514525,0.0570712580418262,11496.9433649927,0.00102734716129976,0.012860656767869,0.775750320829979,9.60024293212984,0.0187572073121536,0.234575321714493,0.279395773188522,0.720604226811478
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_plain,LightGCN,55697,7100,7928633,0.0200497131486334,0.979950286851367,142.352963355297,1116.70887323944,,0.0215227031976588,0.215227031976588,0.109876603250858,0.0781992511351813,0.534366197183099,7100,3794,3.5234700936933,0.215227031976588,1,55697,55752697,0.00152028812461464,0.905092026854546,9.77446760767701,0.0949079731454536,9811.33073504857,0.0028043024491864,0.0400730739537138,0.806974363211027,9.9714711083959,0.0189191981505064,0.236480283766229,0.252770579384774,0.747229420615227
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_plain,MultiVAE,55697,7100,7928633,0.0200497131486334,0.979950286851367,142.352963355297,1116.70887323944,,0.0162890281343699,0.162890281343699,0.0828386964603666,0.0588024817386363,0.184295774647887,7100,1308.5,5.20960123978912,0.162890281343699,1,55697,55752697,0.00166647970525087,0.962595478756145,8.43514619288927,0.037404521243855,12993.2273829829,0.00030996252254361,0.00375513941504929,0.744261693607683,9.341625391472,0.0130870125699558,0.167512427327092,0.320373409306335,0.679626590693666
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_plain,NeuMF,55697,7100,7928633,0.0200497131486334,0.979950286851367,142.352963355297,1116.70887323944,,0.0230362497082428,0.230362497082428,0.116592855908821,0.0824289822397889,0.755633802816901,7100,5365,2.65325374463658,0.230362497082428,1,55697,55752697,0.00141145913854,0.84250282501876,10.5109126091344,0.15749717498124,7635.44802861914,0.00595166621369905,0.10485843043611,0.855116073216764,10.5785697382375,0.0212300710651957,0.264436169327102,0.21032650542106,0.78967349457894
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed42,BPR,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0173241061130334,0.173241061130334,0.107889184936504,0.0878158583694916,0.301670406382448,1337,403.333333333333,4.24505241014078,0.173241061130334,1,1445,1442442,0.0174598430545449,0.933343927037929,6.84529438310432,0.0666560729620705,465.860092272203,2.26456833009675e-05,0.000253748558246828,0.879171060479136,9.16272574990244,0.0203754026819093,0.212260095764456,0.256965242058618,0.743034757941382
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed42,ItemKNN,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0191003460207612,0.191003460207612,0.109157433021992,0.0840256494754765,0.714285714285714,1337,955,1.7820366362959,0.191003460207612,1,1445,1442442,0.00952594486423537,0.725147298217034,8.92082172448902,0.274852701782966,259.25107266436,0.0012217638404062,0.00865051903114187,0.93499946349524,10.1442402012151,0.0219706622643334,0.235012836489418,0.238006989768945,0.761993010231055
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed42,LightGCN,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0185697808535179,0.185697808535179,0.114197454610549,0.0922845608831768,0.138868112690102,1337,185.666666666667,5.2783701240587,0.185697808535179,1,1445,1442442,0.0250927565625317,0.964576238872423,5.98159087359416,0.0354237611275769,511.589388696655,6.41093448986592e-06,9.22722029988466e-05,0.866763546623477,8.98405663241356,0.0213867283405291,0.222266179765559,0.266561851496353,0.733438148503647
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed42,MultiVAE,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.00782006920415225,0.0782006920415225,0.0341658681068077,0.0211299683272002,0.0513587634006482,1337,68.6666666666667,8.32249611482029,0.0782006920415225,1,1445,1442442,0.0328153910881013,0.986902178179465,4.4164205234778,0.0130978218205349,516.774948096886,0,0,0.866434921273673,8.96187745242873,0.00640790178175665,0.0660977718190387,0.246045537391535,0.753954462608465
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed42,NeuMF,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0139100346020761,0.139100346020761,0.0712008344396848,0.0508508632211054,0.898529045125904,1337,1201.33333333333,1.26185764351626,0.139100346020761,1,1445,1442442,0.00777376745701035,0.580267654952291,9.5207561395087,0.419732345047709,260.369042675894,0.00103325408286962,0.00763552479815456,0.935294101533202,10.1963611755117,0.0140833848656263,0.149683512124903,0.201588175572857,0.798411824427143
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed43,BPR,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0173241061130334,0.173241061130334,0.107889184936504,0.0878158583694916,0.301670406382448,1337,403.333333333333,4.24505241014078,0.173241061130334,1,1445,1442442,0.0174598430545449,0.933343927037929,6.84529438310432,0.0666560729620705,465.860092272203,2.26456833009675e-05,0.000253748558246828,0.879171060479136,9.16272574990244,0.0203754026819093,0.212260095764456,0.256965242058618,0.743034757941382
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed43,ItemKNN,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0191003460207612,0.191003460207612,0.109157433021992,0.0840256494754765,0.714285714285714,1337,955,1.7820366362959,0.191003460207612,1,1445,1442442,0.00952594486423537,0.725147298217034,8.92082172448902,0.274852701782966,259.25107266436,0.0012217638404062,0.00865051903114187,0.93499946349524,10.1442402012151,0.0219706622643334,0.235012836489418,0.238006989768945,0.761993010231055
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed43,LightGCN,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0185697808535179,0.185697808535179,0.114197454610549,0.0922845608831768,0.138868112690102,1337,185.666666666667,5.27823434892811,0.185697808535179,1,1445,1442442,0.0250927565625317,0.964574858585168,5.98164024090283,0.0354251414148319,511.582745098039,6.41093448986592e-06,9.22722029988466e-05,0.866764583089834,8.98407157058229,0.0213867283405291,0.222266179765559,0.266560436361632,0.733439563638368
